Taxa	PC1	PC2	PC3	PC4	PC5
C724	-3.0638902	-1.7336012	-3.3218274	-2.0713348	1.9521952
C725	-2.4631526	-1.1137245	-2.7932873	0.14428315	4.2782774
C726	-1.9885148	-0.8483783	-3.0460548	0.48322636	4.3522925
C727	-3.2417915	-1.2587585	-3.1208777	-0.603038	3.6509917
C728	-3.5324163	-1.5211784	-2.2934904	-1.6724961	2.7308779
C730	-2.7739828	-1.1942543	-2.698099	-0.33701363	3.4281492
C731	-4.4657283	-1.8017951	-1.4798942	-0.26420203	3.2746794
C732	-3.8800886	-2.1059415	-3.017552	-2.8345797	1.3050325
4_1650	1.2834338	0.50415385	-3.4051416	2.7626452	0.8013397
4_1651	1.6033968	-1.132947	-1.8549076	1.807675	1.5242416
4_1652	0.1542017	-0.47561786	-2.8673866	1.6307698	3.1366446
4_1653	1.0473579	-0.43356228	-3.1738272	2.1313117	2.7856896
4_1654	1.7474039	-0.4976541	-3.1581275	2.6641588	1.4625164
4_1656	0.7588821	-1.3803266	-1.8630402	1.570505	3.926612
4_1657	0.41643792	-0.21894033	-2.7214088	1.9546174	2.697141
4_1658	1.3225847	-0.11965254	-2.8769784	2.0420465	0.8807477
4_1659	1.2728983	0.20010099	-3.4274268	3.17491	0.22686534
4_1660	0.92328185	-0.5660692	-3.5994802	2.0649579	2.4527528
4_1661	1.7954222	-0.472319	-2.8955595	2.3110921	0.7264479
4_1662	0.046484284	-1.062564	-2.6634681	1.6784834	3.4697113
4_1663	1.5032563	-2.382159	-1.2427877	1.6282948	3.4723191
4_1664	3.8464997	-3.6953516	-0.34352332	1.8730608	3.0152106
4_1665	5.815549	-4.5016184	0.5654789	2.4003327	2.57145
4_1666	1.7265617	-2.0940914	-1.2555032	1.5299861	3.5333083
4_1667	4.284779	-3.5152948	-0.1912786	2.2098563	3.151364
4_1668	6.28601	-5.072084	0.7404074	2.075802	2.3461936
4_1669	5.0078573	-3.9845247	0.258493	2.0491903	3.106323
C734	1.6637936	-4.982548	1.8732705	-1.0384842	-2.3374093
C736	-0.8505506	-4.8121667	2.452495	-0.5234012	-0.6788947
C737	-2.4880245	-4.745799	2.9558766	-0.9897827	-1.3807536
C738	0.78958446	-4.456607	0.39365655	-2.762302	-2.2070067
C740	2.1251318	-5.056351	2.362792	-1.3521649	-1.5828092
C743	-1.1106973	-3.8912816	2.4463136	-0.42575198	0.039785773
C744	-5.725085	-3.7482638	3.6185129	0.21241741	-0.7360796
C745	-3.079494	-4.859891	3.7989354	-0.03792029	-0.6939133
C752	4.996079	-5.8876214	2.2971113	0.32892498	-1.0897992
C753	2.1191027	-4.8796854	1.4162072	-1.0587484	-2.4688575
C754	6.51247	-6.644989	3.0277061	0.5354097	-0.7801272
C756	2.5818768	-4.0687127	0.11123319	-0.16605528	-0.86696744
C757	2.021919	-4.2307687	0.7304005	-1.6550903	-1.683977
C758	1.0643437	-3.8837554	0.99197805	-2.1211526	-2.2549076
C760	-1.3240329	-2.9734938	-0.118783064	-1.4822514	0.04409695
C763	-3.4333024	-3.7057104	1.9085912	-0.2546566	-0.057082426
C764	-2.7466424	-4.4081726	3.2038121	-0.7247882	-0.13183038
C766	2.3523552	-4.8898683	1.2420757	-2.0234015	-2.9852252
C767	1.3538095	-3.614955	0.35124123	-0.40068793	0.17385001
C772	4.0599017	-4.2785397	-0.17447624	-0.08431146	0.19884834
C773	6.430706	-6.2465897	1.6912421	0.7713441	-0.71673024
C775	1.1658269	-3.1160586	-0.97299284	-1.3135353	-1.3615129
C776	6.180817	-6.2647123	1.9201899	0.04558758	-1.0187384
C777	3.1087492	-4.2500715	0.098929316	-0.6772325	-0.41013408
C779	4.7387433	-5.057486	1.3712196	0.44826108	-0.023232223
C780	2.1033442	-3.9830892	-0.7002947	-0.90412915	-0.5789947
C805	-2.714864	-3.325599	-2.1487992	-4.7066264	-2.410642
C806	-1.3829161	-2.4653208	-1.3437374	-3.1990838	-2.8772008
C809	-0.9947595	-2.1219003	-2.4942331	-1.0855883	0.9435623
C810	-2.4178138	-2.662748	-2.476657	-2.2775042	0.9836377
C819	-2.9099665	-2.8458202	-2.702268	-4.2792497	-0.9340197
C827	-2.7069614	-2.4432378	-3.1795259	-5.762746	-2.003387
C829	-0.010880337	-1.6554292	-3.2602174	-1.4872833	1.0853372
4_1138	9.102464	-6.816418	0.84402	-0.43918896	-0.58122206
4_1140	9.579544	-7.2659397	0.98472995	-0.07815783	-0.38029632
4_1141	9.45435	-6.8777547	1.0851716	0.35934663	-0.2018372
4_1142	9.24764	-7.0151315	1.3326368	0.41697904	-0.49926323
4_1143	9.191529	-6.931291	1.3611271	-0.06246039	-0.8292873
4_1144	10.059176	-7.416352	2.1295664	0.8994506	-0.36668536
4_1145	8.757893	-7.0902395	0.9657476	-0.61743385	-0.62081784
4_1146	8.401117	-7.167032	1.4434423	6.7406526E-4	-0.448229
4_1147	8.830718	-7.0550556	1.144316	-0.2796434	-0.37824985
4_1148	10.149821	-7.313362	1.8490828	0.557154	-0.009816601
4_1149	7.56311	-5.6600356	0.9599508	1.2102214	-0.5992696
4_1150	12.605929	-8.924414	3.3139215	2.169239	0.65390724
4_1151	6.4801955	-5.648974	-0.29801813	-0.47348753	0.2336167
4_1152	9.827926	-7.2434163	1.5911086	0.11576084	-6.236096E-4
4_1153	7.2201533	-6.779188	-0.010372923	-1.0094209	-0.77808386
4_1155	10.917048	-7.7090616	2.2295625	1.534565	0.32329306
