Taxa	PC1	PC2	PC3	PC4	PC5
1000	3.1920133	1.4397804	-0.4971646	-1.3389916	0.81001425
1001	4.488048	0.29100272	-0.043268997	-0.9941387	-0.40755463
1002	4.809676	0.19284981	-0.19673663	-0.5946953	-0.40842274
1003	4.2614756	0.35677662	-0.037747573	-2.294829	-0.05356174
1004	3.0401738	0.53359026	1.3104684	-1.6429454	-1.0603368
1005	5.538236	-0.3101463	-0.5551291	-2.2326274	1.2835007
1006	4.8180833	0.103728235	-0.5983454	-1.3355664	0.9167783
1007	3.7743168	-0.3112161	-0.53679377	-1.9174738	1.287677
1008	6.5823956	-0.40929404	-0.47037417	-1.5738764	0.69953084
1009	5.422419	-0.42622656	-0.014571023	-0.7668607	-0.15669708
1011	1.464751	2.6278958	-0.5937651	-1.3086066	-0.095515974
1012	4.0809536	0.4916578	0.47445118	-0.2749454	-1.3115871
1013	6.4821234	-0.90062356	-0.19931713	-1.4687405	0.29096535
1015	0.35966578	2.8957016	-0.8594012	-2.2250469	0.5719846
1016	7.5239544	-1.0499303	-0.42403755	-1.3883495	0.9029981
1018	3.9775825	0.07124997	-0.023164846	-1.5717807	-0.2706099
1019	4.86608	0.19683413	-0.015865287	-1.781923	0.24101941
1020	4.8032494	0.14567268	-0.16270512	-2.8980958	0.53305835
1021	2.8496976	-0.9188433	0.98770076	-3.0941496	-1.1062133
1022	-0.11548722	-1.0985107	3.811326	-3.848092	-0.17443253
1024	4.0948143	-0.03414166	-0.93182766	-2.0675962	1.1495837
1025	3.6195626	0.9135744	0.48417985	-1.3102003	-1.363029
1026	5.002744	-0.0043265074	-0.2963785	-1.3815494	-0.11645338
1027	3.3369057	0.4792264	0.6199628	-0.78733814	-0.29586288
1028	2.9890456	-0.45317227	0.90651935	-3.3516448	-0.20255806
1029	5.073203	0.022047391	-0.5922905	-1.7898482	1.3854206
1030	5.473264	-0.77611715	-0.06598274	-2.0964549	0.8121402
1032	6.0832076	-0.35634688	-0.6468873	-1.7854635	0.69089794
1034	-5.1010227	5.485556	1.1578699	-1.800335	-0.5542682
1035	4.4803047	0.0650152	-0.26727232	-2.293593	0.5507708
1036	6.650272	-0.30291647	-0.6119312	-1.6014062	0.53362083
1037	6.8373346	-0.50486004	-0.53296196	-1.5131257	0.44076896
1039	4.1626544	-0.48407677	0.79610866	-2.1926904	0.510754
1040	5.823638	-0.75800025	-0.530018	-2.2506607	1.2499934
1041	5.1884904	0.12304475	-0.012533297	-1.016318	-0.026207112
1043	-0.04032904	-0.6812929	3.3059008	-3.1945777	-0.34436
1044	4.8737345	0.41413206	-0.18973039	-1.1891549	0.04646763
1045	0.8635873	3.1199884	-1.2912769	-1.5101511	-0.63604647
1046	6.0790462	-0.3775888	-0.4641592	-1.2372564	0.95776707
1047	4.583294	0.31492376	-0.5905056	-1.9310079	0.47999725
1048	6.510579	-0.5544166	-0.59467405	-1.9263084	0.8633178
1049	4.3767204	0.06314679	0.20803346	-1.3574547	-0.5142532
1050	0.24642332	0.5217791	2.857764	-2.0501313	-1.2470094
1051	5.6298895	-0.21443035	-0.056915537	-1.2266804	-0.059359126
1052	6.7516704	-0.7568209	-0.16573033	-0.96407557	0.6744059
1053	-1.3042086	0.30640313	3.9488993	-3.2047174	-0.7782478
1054	7.1365232	-0.8770977	-0.19125544	-0.980532	0.14913952
1055	-5.938304	8.08947	-1.7890985	-1.0975945	0.86660856
