PC	eigenvalue	proportion of total	cumulative proportion
551	0.03693	2.5644E-4	0.98118
552	0.03648	2.5334E-4	0.98143
553	0.03644	2.5303E-4	0.98169
554	0.03626	2.518E-4	0.98194
555	0.03589	2.4923E-4	0.98219
556	0.03581	2.4865E-4	0.98244
557	0.0355	2.4652E-4	0.98268
558	0.03547	2.4628E-4	0.98293
559	0.03532	2.4523E-4	0.98317
560	0.03517	2.4425E-4	0.98342
561	0.03492	2.4245E-4	0.98366
562	0.03476	2.4136E-4	0.9839
563	0.03451	2.3963E-4	0.98414
564	0.03438	2.3874E-4	0.98438
565	0.03407	2.3655E-4	0.98462
566	0.0339	2.3539E-4	0.98485
567	0.0338	2.3473E-4	0.98509
568	0.03367	2.3379E-4	0.98532
569	0.0334	2.3195E-4	0.98555
570	0.03305	2.2952E-4	0.98578
571	0.03286	2.2821E-4	0.98601
572	0.03263	2.2658E-4	0.98624
573	0.03257	2.2616E-4	0.98646
574	0.03238	2.2482E-4	0.98669
575	0.03223	2.238E-4	0.98691
576	0.03208	2.2275E-4	0.98713
577	0.03192	2.2163E-4	0.98736
578	0.03166	2.1987E-4	0.98758
579	0.03145	2.1836E-4	0.98779
580	0.03132	2.175E-4	0.98801
581	0.03115	2.1632E-4	0.98823
582	0.03075	2.1351E-4	0.98844
583	0.03049	2.1172E-4	0.98865
584	0.03023	2.099E-4	0.98886
585	0.03013	2.0918E-4	0.98907
586	0.02997	2.0812E-4	0.98928
587	0.02984	2.0723E-4	0.98949
588	0.02959	2.0546E-4	0.98969
589	0.0295	2.0483E-4	0.9899
590	0.02922	2.0291E-4	0.9901
591	0.02905	2.0173E-4	0.9903
592	0.02877	1.9975E-4	0.9905
593	0.02866	1.9902E-4	0.9907
594	0.02833	1.9673E-4	0.9909
595	0.02819	1.9573E-4	0.99109
596	0.02801	1.9448E-4	0.99129
597	0.02791	1.9381E-4	0.99148
598	0.02785	1.9338E-4	0.99168
599	0.02766	1.9209E-4	0.99187
600	0.02742	1.9042E-4	0.99206
601	0.02706	1.8791E-4	0.99225
602	0.02694	1.871E-4	0.99243
603	0.0268	1.8609E-4	0.99262
604	0.02664	1.8495E-4	0.9928
605	0.02645	1.8364E-4	0.99299
606	0.02624	1.8219E-4	0.99317
607	0.02608	1.8112E-4	0.99335
608	0.02584	1.7944E-4	0.99353
609	0.02557	1.7759E-4	0.99371
610	0.02545	1.7674E-4	0.99388
611	0.02528	1.7556E-4	0.99406
612	0.02519	1.7488E-4	0.99423
613	0.0251	1.743E-4	0.99441
614	0.02488	1.7279E-4	0.99458
615	0.02474	1.7177E-4	0.99475
616	0.02456	1.7055E-4	0.99492
617	0.02415	1.6771E-4	0.99509
618	0.0239	1.6598E-4	0.99526
619	0.02387	1.6573E-4	0.99542
